dataset,scheme,goal,accept_rate,U_asymmetric,U_symmetric
BACE,marginal,find_class1,0.6860094892549387,-700.1075684462143,68.09355800917466
BACE,mondrian,find_class1,0.6572312470323557,-670.7012363943417,52.14133044495532
BBBP,marginal,symmetric,0.9223126535720767,-1569.4055853362727,-1569.4055853362727
BBBP,mondrian,symmetric,0.8761086559103525,85.6465793679124,85.6465793679124
ClinTox,marginal,avoid_class1,1.0,-11959.197568894364,-3978.462681694947
ClinTox,mondrian,avoid_class1,0.38117683655441087,-178.94699588063432,-22.25183918547761
Tox21_SRARE,marginal,avoid_class1,0.6736774123690306,-9484.3278824596,-3237.5503818263837
Tox21_SRARE,mondrian,avoid_class1,0.5228003265873632,-1140.710869280153,-250.14126980440443
