seed,mcc,auprc,auroc,cov_min_marg_lac,cov_maj_marg_lac,cov_min_mond_lac,cov_maj_mond_lac,setsz_marg_lac,setsz_mond_lac,cov_min_marg_aps,cov_maj_marg_aps,setsz_marg_aps,minority_rate,maj_label
0,0.28879408632155856,0.4917719421672422,0.7901435816373575,0.3373015873015873,0.9975103734439834,0.9365079365079365,0.9004149377593361,1.096774193548387,1.5175017158544954,1.0,1.0,1.9979409746053534,0.17295813315030886,0
1,0.2782139119325475,0.46113078330101287,0.7792740737655991,0.3559322033898305,1.0,0.9110169491525424,0.9082719082719083,1.1029512697323267,1.4989704873026768,1.0,1.0,1.9972546328071379,0.16197666437886069,0
2,0.220058433885209,0.45337197448284466,0.7766083901371709,0.3776824034334764,0.9991830065359477,0.9055793991416309,0.9084967320261438,1.1091283459162664,1.5106382978723405,0.9957081545064378,1.0,1.9965682910089224,0.15991763898421413,0
3,0.32800516636264604,0.5042179950563137,0.7806324636293518,0.43775100401606426,0.9991721854304636,0.9156626506024096,0.8832781456953642,1.1509951956074125,1.5147563486616336,1.0,1.0,1.9993136582017845,0.17089910775566233,0
4,0.3100982439981712,0.5016480849404665,0.8021789321789322,0.5155555555555555,0.9967532467532467,0.9466666666666667,0.8928571428571429,1.1379547014413178,1.4893617021276595,1.0,1.0,1.9965682910089224,0.15442690459849004,0
