seed,mcc,auprc,auroc,cov_min_marg,cov_maj_marg,cov_min_mond,cov_maj_mond,setsize_marg,setsize_mond,minority_rate
0,0.6896904165510449,0.9446261326691521,0.8933204768583449,0.6290322580645161,0.9891304347826086,0.8548387096774194,0.9130434782608695,1.048780487804878,1.1747967479674797,0.25203252032520324
1,0.6558559378458481,0.9588389493257128,0.8999025650321761,0.576271186440678,0.9866310160427807,0.8728813559322034,0.9064171122994652,1.008130081300813,1.1829268292682926,0.23983739837398374
2,0.6566707000630817,0.9611740603760116,0.9142923971397385,0.6694214876033058,0.9865229110512129,0.9090909090909091,0.9110512129380054,1.0528455284552845,1.1951219512195121,0.2459349593495935
3,0.6272251379502838,0.9664085528603222,0.9045982831790123,0.5277777777777778,0.9869791666666666,0.9074074074074074,0.8932291666666666,1.0040650406504066,1.2032520325203253,0.21951219512195122
4,0.6555206821897039,0.9607254661797588,0.9051649305555555,0.6574074074074074,0.984375,0.8796296296296297,0.8958333333333334,1.0426829268292683,1.1341463414634145,0.21951219512195122
5,0.5915008403031995,0.9454996647982509,0.8857438692098092,0.488,0.9809264305177112,0.848,0.8937329700272479,1.0,1.1260162601626016,0.2540650406504065
6,0.6770718913652733,0.9689996156344156,0.9113377700617283,0.6944444444444444,0.9947916666666666,0.9351851851851852,0.8958333333333334,1.103658536585366,1.3658536585365855,0.21951219512195122
7,0.5953931877882787,0.9423683490102678,0.8754430660168365,0.48360655737704916,0.981081081081081,0.8934426229508197,0.8513513513513513,0.991869918699187,1.266260162601626,0.24796747967479674
8,0.6122606128711939,0.9468492562694494,0.8860139229954715,0.5462184873949579,0.9705093833780161,0.8739495798319328,0.9329758713136729,1.0,1.1971544715447155,0.241869918699187
9,0.6808577022752486,0.9542776821674496,0.9007280465949821,0.6666666666666666,0.9973118279569892,0.9333333333333333,0.9381720430107527,1.0528455284552845,1.4288617886178863,0.24390243902439024
