seed,mcc,auprc,auroc,cov_min_marg,cov_maj_marg,cov_min_mond,cov_maj_mond,setsize_marg,setsize_mond,minority_rate
0,0.6635462632942016,0.949596202689104,0.8990949333800842,0.6129032258064516,0.9864130434782609,0.8790322580645161,0.9157608695652174,1.0284552845528456,1.1747967479674797,0.25203252032520324
1,0.6569504802458563,0.9690303841721382,0.9190836581165593,0.6101694915254238,0.9866310160427807,0.9152542372881356,0.9251336898395722,1.0182926829268293,1.2398373983739837,0.23983739837398374
2,0.6629848555848455,0.9634325217647479,0.914481744670424,0.6611570247933884,0.9865229110512129,0.9008264462809917,0.9137466307277629,1.0467479674796747,1.2113821138211383,0.2459349593495935
3,0.6344218056553759,0.9709679045899647,0.9135802469135802,0.5185185185185185,0.984375,0.9166666666666666,0.9140625,0.9939024390243902,1.233739837398374,0.21951219512195122
4,0.6765408814961625,0.9635064812274572,0.9053337191358024,0.6666666666666666,0.984375,0.8888888888888888,0.8932291666666666,1.0426829268292683,1.2073170731707317,0.21951219512195122
5,0.6050290298452772,0.9543115295648296,0.895825613079019,0.512,0.9836512261580381,0.824,0.896457765667575,1.016260162601626,1.1016260162601625,0.2540650406504065
6,0.6555206821897039,0.9704131572512109,0.9127724729938271,0.7222222222222222,0.9947916666666666,0.9537037037037037,0.8880208333333334,1.113821138211382,1.3109756097560976,0.21951219512195122
7,0.6026068192102279,0.950171933849663,0.8808595480726629,0.5081967213114754,0.9837837837837838,0.8934426229508197,0.8540540540540541,1.0060975609756098,1.2357723577235773,0.24796747967479674
8,0.6450330308169414,0.9542062171803887,0.896478698718093,0.5798319327731093,0.9731903485254692,0.865546218487395,0.9249329758713136,1.0040650406504066,1.1747967479674797,0.241869918699187
9,0.6676901712406801,0.9635484255568141,0.9141241039426523,0.675,0.9973118279569892,0.9416666666666667,0.9220430107526881,1.048780487804878,1.3333333333333333,0.24390243902439024
