seed,mcc,auprc,auroc,cov_min_marg_lac,cov_maj_marg_lac,cov_min_mond_lac,cov_maj_mond_lac,setsz_marg_lac,setsz_mond_lac,cov_min_marg_aps,setsz_marg_aps,minority_rate
0,0.2504361706604856,0.3728468116982477,0.7772383416295521,0.015151515151515152,0.9877521613832853,0.8712121212121212,0.9027377521613833,0.9743421052631579,1.45,1.0,2.0,0.0868421052631579
1,0.3502953175875047,0.445629753044648,0.8358169014084508,0.03,0.9788732394366197,0.91,0.9204225352112676,0.9585526315789473,1.4782894736842105,1.0,2.0,0.06578947368421052
2,0.2092223909991036,0.3884964491131096,0.8171773493749855,0.02459016393442623,0.9620886981402003,0.9016393442622951,0.902002861230329,0.9394736842105263,1.4072368421052632,1.0,1.9986842105263158,0.08026315789473684
3,0.2669520700212996,0.4238858597318895,0.8325476190476191,0.016666666666666666,0.9742857142857143,0.875,0.8842857142857142,0.9513157894736842,1.3644736842105263,1.0,2.0,0.07894736842105263
4,0.2600965968742647,0.418688917992842,0.8101419417916441,0.016260162601626018,0.9863994273443092,0.8617886178861789,0.8940586972083036,0.9703947368421053,1.3730263157894738,1.0,2.0,0.08092105263157895
5,0.2784071901726183,0.4193792779505684,0.8115811635146564,0.025210084033613446,0.9685938615274804,0.865546218487395,0.8993576017130621,0.9447368421052632,1.3671052631578948,1.0,2.0,0.07828947368421052
6,0.2785030400001526,0.38714776490482605,0.8229855209316965,0.018518518518518517,0.9773371104815864,0.8981481481481481,0.9079320113314447,0.9625,1.4138157894736842,1.0,1.9973684210526317,0.07105263157894737
7,0.24852978780454207,0.4034786406367995,0.8357534255334113,0.018018018018018018,0.9694819020581973,0.9459459459459459,0.9134137686302342,0.9480263157894737,1.4953947368421052,1.0,1.9967105263157894,0.07302631578947369
