seed,mcc,auprc,auroc,cov_min_marg,cov_maj_marg,cov_min_mond,cov_maj_mond,setsize_marg,setsize_mond,minority_rate
0,0.5371222449443308,0.8295237720533928,0.8767751647352874,0.9079754601226994,0.9120370370370371,0.9079754601226994,0.9120370370370371,1.2691292875989446,1.274406332453826,0.43007915567282323
1,0.6578660649611094,0.876145600312445,0.9109614293817356,0.9512195121951219,0.9162790697674419,0.9512195121951219,0.9348837209302325,1.2532981530343008,1.2902374670184698,0.43271767810026385
2,0.5581166498423352,0.8150631119648806,0.8657050379960596,0.9588235294117647,0.9043062200956937,0.9823529411764705,0.861244019138756,1.3430079155672823,1.3403693931398417,0.44854881266490765
3,0.6621570289776431,0.8997043515438722,0.910685427695737,0.9027027027027027,0.9381443298969072,0.9351351351351351,0.9381443298969072,1.2401055408970976,1.274406332453826,0.48812664907651715
4,0.6950142732562219,0.87236284530519,0.9151304594441295,0.9329268292682927,0.9069767441860465,0.9329268292682927,0.9162790697674419,1.187335092348285,1.20844327176781,0.43271767810026385
5,0.6284771955197666,0.8576844647024944,0.8891905508284818,0.9318181818181818,0.896551724137931,0.8806818181818182,0.9064039408866995,1.229551451187335,1.2058047493403694,0.46437994722955145
6,0.6384659133811369,0.8599314522674163,0.9006307821698907,0.9137931034482759,0.9365853658536586,0.9080459770114943,0.9463414634146341,1.274406332453826,1.2981530343007917,0.45910290237467016
7,0.5820047605717696,0.8189742014595534,0.8698593379279178,0.9041916167664671,0.8632075471698113,0.9041916167664671,0.9009433962264151,1.2269129287598945,1.274406332453826,0.44063324538258575
8,0.5868581292899887,0.8435747294174971,0.8764122698000227,0.9041916167664671,0.9009433962264151,0.8922155688622755,0.9433962264150944,1.2559366754617414,1.3350923482849604,0.44063324538258575
9,0.542377810532094,0.8051478423870364,0.8610401045216995,0.8588957055214724,0.8564814814814815,0.8588957055214724,0.8564814814814815,1.1556728232189974,1.158311345646438,0.43007915567282323
