seed,mcc,auprc,auroc,cov_min_marg_lac,cov_maj_marg_lac,cov_min_mond_lac,cov_maj_mond_lac,setsz_marg_lac,setsz_mond_lac,cov_min_marg_aps,cov_maj_marg_aps,setsz_marg_aps,minority_rate,maj_label
0,0.32855878112866654,0.3750481497399386,0.8038922155688624,0.0,0.9880239520958084,0.9615384615384616,0.937125748502994,0.9694444444444444,1.6611111111111112,1.0,1.0,1.9972222222222222,0.07222222222222222,0
1,-0.014105508853773261,0.13693144358352727,0.7124875992063493,0.0,0.9851190476190477,1.0,0.9375,0.9833333333333333,1.761111111111111,1.0,1.0,2.0,0.06666666666666667,0
2,-0.012458116468486649,0.19515730690157215,0.7125327982713381,0.0,0.9794721407624634,1.0,0.9090909090909091,0.9722222222222222,1.8277777777777777,1.0,1.0,2.0,0.05277777777777778,0
3,0.34045226816005825,0.28796429707029386,0.7811078622482132,0.05555555555555555,0.9883040935672515,0.9444444444444444,0.9005847953216374,0.9833333333333333,1.6777777777777778,1.0,1.0,1.9833333333333334,0.05,0
4,0.3898907166970186,0.41291445823214235,0.8165772089182494,0.14285714285714285,0.9653179190751445,1.0,0.9075144508670521,0.9555555555555556,1.886111111111111,1.0,1.0,2.0,0.03888888888888889,0
5,0.10099953751678062,0.172849525792235,0.7290027093278287,0.0,0.9762611275964391,1.0,0.9198813056379822,0.9694444444444444,1.85,1.0,1.0,2.0,0.06388888888888888,0
6,0.21760919200640963,0.1919673205568827,0.6774264705882352,0.0,0.9852941176470589,1.0,0.95,0.975,1.8416666666666666,1.0,1.0,1.9972222222222222,0.05555555555555555,0
7,0.19747712395282566,0.2864397782636627,0.7897445436507936,0.0,0.9791666666666666,0.9583333333333334,0.9255952380952381,0.9694444444444444,1.6222222222222222,1.0,1.0,2.0,0.06666666666666667,0
