seed,mcc,auprc,auroc,cov_min_marg_lac,cov_maj_marg_lac,cov_min_mond_lac,cov_maj_mond_lac,setsz_marg_lac,setsz_mond_lac,cov_min_marg_aps,cov_maj_marg_aps,setsz_marg_aps,minority_rate,maj_label
0,0.6708551218116233,0.944603123592298,0.8924767706872371,0.6370967741935484,0.9891304347826086,0.8548387096774194,0.9103260869565217,1.0508130081300813,1.1768292682926829,1.0,1.0,2.0,0.25203252032520324,1
1,0.6627560780076309,0.9597673353819554,0.9002424544548173,0.576271186440678,0.9866310160427807,0.8728813559322034,0.9090909090909091,1.0121951219512195,1.1768292682926829,1.0,1.0,2.0,0.23983739837398374,1
2,0.6629848555848455,0.9596192332915636,0.912153883851997,0.6694214876033058,0.9865229110512129,0.9090909090909091,0.9164420485175202,1.0508130081300813,1.2073170731707317,1.0,1.0,2.0,0.2459349593495935,1
3,0.6420215882701696,0.9644086011838092,0.9027657214506173,0.5277777777777778,0.9869791666666666,0.9166666666666666,0.9140625,1.0020325203252032,1.2276422764227641,1.0,1.0,2.0,0.21951219512195122,1
4,0.648435639024183,0.9609064133195548,0.9042124807098767,0.6574074074074074,0.984375,0.8703703703703703,0.8984375,1.0406504065040652,1.1158536585365855,1.0,1.0,1.9979674796747968,0.21951219512195122,1
5,0.5915008403031995,0.942940816377172,0.8847738419618528,0.472,0.9809264305177112,0.856,0.896457765667575,0.9959349593495935,1.1483739837398375,1.0,1.0,1.9959349593495934,0.2540650406504065,1
6,0.6836747218849112,0.9687211784077077,0.912374614197531,0.7129629629629629,0.9973958333333334,0.9351851851851852,0.90625,1.1097560975609757,1.3556910569105691,1.0,1.0,2.0,0.21951219512195122,1
7,0.5816700804898699,0.9415660173663709,0.8756756756756757,0.48360655737704916,0.9783783783783784,0.8852459016393442,0.8783783783783784,0.9979674796747967,1.2764227642276422,1.0,1.0,2.0,0.24796747967479674,1
