seed,mcc,auprc,auroc,cov_min_marg,cov_maj_marg,cov_min_mond,cov_maj_mond,setsize_marg,setsize_mond,minority_rate
0,0.5428564797532663,0.8221524182635092,0.8756816632583504,0.8957055214723927,0.9027777777777778,0.901840490797546,0.9027777777777778,1.2401055408970976,1.2612137203166227,0.43007915567282323
1,0.6528835661639113,0.8733690207909512,0.910068065796937,0.9512195121951219,0.9209302325581395,0.9451219512195121,0.9255813953488372,1.2612137203166227,1.2849604221635884,0.43271767810026385
2,0.5593989798241984,0.8124131192849544,0.8633267661131437,0.9588235294117647,0.8947368421052632,0.9823529411764705,0.861244019138756,1.3509234828496042,1.3562005277044855,0.44854881266490765
3,0.6571549108527678,0.9009362277627058,0.9105879074951241,0.8864864864864865,0.9381443298969072,0.9405405405405406,0.9329896907216495,1.229551451187335,1.3034300791556728,0.48812664907651715
4,0.6882870107770845,0.8707242781654891,0.9164350538854226,0.9207317073170732,0.9116279069767442,0.9329268292682927,0.9162790697674419,1.187335092348285,1.2137203166226913,0.43271767810026385
5,0.623285034168894,0.8617000021485627,0.8898203090013435,0.9204545454545454,0.9014778325123153,0.8806818181818182,0.9211822660098522,1.237467018469657,1.2427440633245384,0.46437994722955145
6,0.6384659133811369,0.8582946751583062,0.8989767311466218,0.9252873563218391,0.9414634146341463,0.9252873563218391,0.9414634146341463,1.287598944591029,1.3060686015831136,0.45910290237467016
7,0.5975037632822783,0.8134003521404711,0.8693932888939103,0.9101796407185628,0.8679245283018868,0.8922155688622755,0.8867924528301887,1.229551451187335,1.2480211081794195,0.44063324538258575
8,0.571362098974901,0.8376809622340096,0.8750423680940007,0.9101796407185628,0.9056603773584906,0.8922155688622755,0.9339622641509434,1.287598944591029,1.3139841688654355,0.44063324538258575
9,0.5365107345061725,0.8074911216521106,0.859492160872529,0.8711656441717791,0.8564814814814815,0.8711656441717791,0.8703703703703703,1.1715039577836412,1.1899736147757256,0.43007915567282323
