seed,mcc,auprc,auroc,cov_min_marg,cov_maj_marg,cov_min_mond,cov_maj_mond,setsize_marg,setsize_mond
0,0.31619172818706914,0.49058783941432976,0.7863827965487716,0.3333333333333333,0.9983402489626556,0.9285714285714286,0.9012448132780083,1.092656142759094,1.5065202470830474
1,0.2727823276489696,0.45651702426797575,0.7773272116492456,0.3516949152542373,1.0,0.902542372881356,0.9115479115479116,1.1050102951269731,1.4866163349347976
2,0.19593314132157094,0.44270587648975396,0.7731089932396422,0.3905579399141631,1.0,0.8969957081545065,0.9060457516339869,1.1214824982841456,1.5085792724776939
