dataset,n,seed,mcc,auprc,auroc,cov_min_marg_lac,cov_maj_marg_lac,cov_min_mond_lac,cov_maj_mond_lac,setsz_marg_lac,setsz_mond_lac,cov_min_marg_aps,cov_maj_marg_aps,setsz_marg_aps,minority_rate,maj_label,cov_min_marg_lac_std
BACE,1513,3.5,0.6197256880804998,0.8525421518319927,0.8920201973438627,0.9226013447369596,0.9093882229988988,0.9215957054960073,0.9139549214521783,1.2529683377308707,1.2770448548812665,0.9985632183908046,0.999384236453202,1.9924142480211082,0.4495382585751979,0.0,0.02248618541353891
BBBP,1965,3.5,0.6429873656720542,0.955316589865054,0.8980844303737006,0.5920680192203411,0.9862923963465865,0.8875348873202623,0.9036806485763631,1.032520325203252,1.2106199186991868,1.0,1.0,1.9992378048780488,0.23729674796747968,1.0,0.09060034999285528
Tox21_SRARE,5825,2.0,0.28503396850002644,0.482428155989576,0.7857674882696822,0.4048445507393028,0.9985237624327283,0.9230867204142372,0.8986637733219791,1.1195607412491422,1.5062457103637612,0.9991416309012877,1.0,1.997529169526424,0.16403568977350722,0.0,0.07251209060240822
ClinTox,1440,3.5,0.1935529992674374,0.2574090350175318,0.7528464259724836,0.0248015873015873,0.980869883128735,0.98303952991453,0.9234115559394765,0.9722222222222222,1.765972222222222,1.0,1.0,1.9972222222222222,0.058333333333333334,0.0,0.05151093248312368
