dataset,mcc,auprc,auroc,cov_min_marg,cov_min_mond,setsize_marg,setsize_mond,cov_min_marg_w,cov_min_mond_w,mcc_w
BACE,0.606770849168461,0.845816217760107,0.8868824314557383,91.50233584268128,91.64348709402348,1.2482849604221635,1.2720316622691294,91.66538258021447,91.53640564241246,0.6088460071276396
BBBP,0.6442047109203155,0.954976772929079,0.8976545327643655,59.38846273176803,89.0775873303884,1.0304878048780488,1.227439024390244,60.666658036172564,89.79027708997783,0.6470324019579272
Tox21_SRARE,0.26163573238586985,0.4632702467240198,0.7789396671458865,35.85287295005779,90.93698365357636,1.1063829787234043,1.500571951498513,34.676146753327224,91.11227923514241,0.2657341337253069
ClinTox,0.17739104803573283,0.25301264720208944,0.7541339546695346,0.0,100.0,0.9768518518518517,1.9212962962962965,0.0,100.0,0.1526947254034611
